,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_media[0],0.015,0.014,0.0,0.041,0.0,0.0,3172.0,2013.0,1.0
beta_media[1],0.021,0.018,0.0,0.053,0.0,0.0,3541.0,2313.0,1.0
beta_media[2],0.123,0.065,0.006,0.235,0.001,0.001,2744.0,1184.0,1.0
beta_media[3],0.111,0.074,0.0,0.24,0.001,0.001,2425.0,1795.0,1.0
beta_media[4],0.066,0.054,0.0,0.168,0.001,0.001,2687.0,2257.0,1.0
beta_media[5],0.043,0.028,0.0,0.092,0.001,0.0,2270.0,1740.0,1.0
beta_media[6],0.132,0.087,0.0,0.283,0.002,0.001,2292.0,1789.0,1.0
alpha_media[0],0.512,0.225,0.113,0.902,0.003,0.003,6175.0,3236.0,1.0
alpha_media[1],0.484,0.22,0.094,0.866,0.003,0.003,4934.0,2680.0,1.0
alpha_media[2],0.535,0.196,0.136,0.841,0.003,0.002,3440.0,2736.0,1.0
alpha_media[3],0.389,0.198,0.061,0.758,0.003,0.003,4613.0,2684.0,1.0
alpha_media[4],0.37,0.18,0.029,0.681,0.003,0.003,4052.0,2516.0,1.0
alpha_media[5],0.384,0.184,0.055,0.721,0.003,0.003,3987.0,2599.0,1.0
alpha_media[6],0.435,0.203,0.064,0.793,0.003,0.003,4332.0,2459.0,1.0
intercept,0.628,0.2,0.233,0.984,0.004,0.003,2677.0,2784.0,1.0
sigma,0.258,0.021,0.22,0.298,0.0,0.0,4438.0,2993.0,1.0
